Sales Person,Geography,Product,Date,Amount,Boxes
Kelci Walkden,UK,99% Dark & Pure,11/1/2021,"$5,124 ",285
Van Tuxwell, New Zealand,Milk Bars,11/1/2021,"$2,709 ",113
Barr Faughny,  Australia,Milk Bars,11/1/2021,"$7,238 ",315
Curtice Advani,  India,White Choc,12/1/2021,"$6,776 ",424
Husein Augar,UK,Milk Bars,12/1/2021,$189 ,8
Ches Bonnell,  USA,Fruit & Nut Bars,12/1/2021,"$4,669 ",390
Barr Faughny,  Canada,70% Dark Bites,12/1/2021,$490 ,35
Ches Bonnell,   Australia,70% Dark Bites,12/1/2021,"$4,235 ",283
Jan Morforth,USA,Drinking Coco,12/1/2021,"$4,487 ",187
Dennison Crosswaite,Canada,Baker's Choco Chips,12/1/2021,"$2,653 ",332
Wilone O'Kielt, New Zealand,Spicy Special Slims,12/1/2021,"$5,306 ",253
Marney O'Breen,   USA,50% Dark Bites,12/1/2021,"$6,888 ",689
Ches Bonnell, New Zealand,Organic Choco Syrup,12/1/2021,$721 ,24
Dotty Strutley,India,Spicy Special Slims,12/1/2021,"$8,610 ",345
Brien Boise,USA,Fruit & Nut Bars,12/1/2021,"$11,739 ",903
Marney O'Breen, India,Orange Choco,13/1/2021,"$4,774 ",341
Brien Boise,  Canada,50% Dark Bites,13/1/2021,"$6,307 ",789
Mallorie Waber, Canada,99% -Dark & Pure,13/1/2021,"$4,340 ",217
Andria Kimpton,India,70% Dark Bites,13/1/2021,"$1,078 ",77
Jan Morforth, UK,Almond Choco,13/1/2021,"$5,418 ",247
Gunar Cockshoot,USA,Choco Coated Almonds,13/1/2021,"$6,069 ",434
Kelci Walkden,   USA,Choco Coated Almonds,13/1/2021,"$12,334 ",686
Ches Bonnell, UK,Drinking Coco,13/1/2021,$728 ,32
Mallorie Waber, India,Baker's Choco Chips,13/1/2021,"$2,135 ",165
Kaine Padly,New Zealand,85% Dark Bars,13/1/2021,"$2,121 ",89
Karlen McCaffrey,   UK,Milk Bars,14/1/2021,"$6,881 ",222
Roddy Speechley, New Zealand,Drinking Coco,14/1/2021,"$1,239 ",50
Marney O'Breen, Australia,Mint Chip Choco,14/1/2021,"$3,598 ",257
Madelene Upcott,Canada,Smooth Sliky Salty,14/1/2021,"$6,580 ",347
Ches Bonnell,   UK,Spicy Special Slims,14/1/2021,"$1,127 ",54
Jehu Rudeforth,  India,Peanut Butter Cubes,14/1/2021,"$3,605 ",139
Andria Kimpton, New Zealand,After Nines,14/1/2021,"$5,096 ",196
Camilla Castle,USA,99% Dark & Pure,14/1/2021,"$2,135 ",98
Jan Morforth,USA,Raspberry Choco,14/1/2021,$35 ,3
Husein Augar, India,70% Dark Bites,14/1/2021,"$13,090 ",935
Gigi Bohling,   UK,Smooth Sliky Salty,14/1/2021,"$15,785 ",1128
Oby Sorrel,   Australia,Fruit & Nut Bars,14/1/2021,"$14,574 ",810
Husein Augar,  New Zealand,Caramel Stuffed Bars,14/1/2021,"$3,556 ",143
Dennison Crosswaite,  USA,Fruit & Nut Bars,14/1/2021,"$14,532 ",969
Van Tuxwell,  New Zealand,Caramel Stuffed Bars,14/1/2021,"$4,445 ",159
Rafaelita Blaksland,  USA,Milk Bars,14/1/2021,"$10,339 ",357
Gunar Cockshoot, New Zealand,After Nines,14/1/2021,"$1,351 ",55
Dennison Crosswaite,New Zealand,Baker's Choco Chips,14/1/2021,"$4,011 ",335
Rafaelita Blaksland,UK,Fruit & Nut Bars,14/1/2021,"$5,306 ",483
Roddy Speechley,USA,After Nines,14/1/2021,"$18,704 ",585
Mallorie Waber, Canada,Smooth Sliky Salty,14/1/2021,"$9,310 ",582
Wilone O'Kielt, New Zealand,Eclairs,14/1/2021,"$1,211 ",61
Andria Kimpton, Canada,Raspberry Choco,15/1/2021,"$3,094 ",148
Rafaelita Blaksland,   New Zealand,Raspberry Choco,15/1/2021,"$4,949 ",248
Curtice Advani,New Zealand,99% Dark & Pure,15/1/2021,$308 ,19
Husein Augar,India,Caramel Stuffed Bars,15/1/2021,"$7,546 ",329
Karlen McCaffrey,  USA,85% Dark Bars,15/1/2021,"$6,713 ",373
Dotty Strutley, New Zealand,Caramel Stuffed Bars,15/1/2021,"$6,895 ",300
Dennison Crosswaite,   New Zealand,Mint Chip Choco,15/1/2021,"$3,430 ",202
Mallorie Waber,New Zealand,White Choc,18/1/2021,"$4,165 ",348
Camilla Castle,   India,Almond Choco,18/1/2021,"$2,380 ",159
Gunar Cockshoot, UK,White Choc,18/1/2021,"$6,594 ",413
Wilone O'Kielt,Australia,Raspberry Choco,18/1/2021,"$1,428 ",76
Beverie Moffet,   Australia,Drinking Coco,18/1/2021,"$2,646 ",116
Brien Boise,   India,Milk Bars,18/1/2021,$238 ,11
Roddy Speechley, Australia,Raspberry Choco,18/1/2021,$945 ,50
Husein Augar, UK,Spicy Special Slims,18/1/2021,"$9,436 ",337
Rafaelita Blaksland, USA,Spicy Special Slims,18/1/2021,"$4,081 ",152
Wilone O'Kielt,  USA,99% Dark & Pure,18/1/2021,"$10,556 ",587
Barr Faughny,   USA,White Choc,18/1/2021,"$2,331 ",167
Husein Augar,Canada,Organic Choco Syrup,19/1/2021,$896 ,32
Oby Sorrel,India,Manuka Honey Choco,19/1/2021,"$4,214 ",169
Oby Sorrel, Canada,Orange Choco,19/1/2021,"$2,121 ",177
Van Tuxwell, India,85% Dark Bars,19/1/2021,"$1,029 ",47
Ches Bonnell, India,Mint Chip Choco,19/1/2021,"$15,407 ",771
Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,19/1/2021,"$10,129 ",406
Jan Morforth,USA,Smooth Sliky Salty,19/1/2021,"$16,380 ",1092
Roddy Speechley, India,White Choc,19/1/2021,"$3,899 ",279
Gigi Bohling, Canada,Spicy Special Slims,19/1/2021,"$12,075 ",432
Husein Augar,  USA,Manuka Honey Choco,19/1/2021,"$10,696 ",428
Beverie Moffet,  USA,Almond Choco,19/1/2021,"$4,039 ",238
Madelene Upcott,  India,Peanut Butter Cubes,19/1/2021,"$5,250 ",202
Mallorie Waber,  India,99% Dark & Pure,19/1/2021,"$8,113 ",508
Ches Bonnell,UK,Eclairs,19/1/2021,$161 ,10
Kaine Padly,   UK,Spicy Special Slims,19/1/2021,"$8,218 ",294
Curtice Advani, Australia,Baker's Choco Chips,19/1/2021,$742 ,53
Gunar Cockshoot,   USA,After Nines,19/1/2021,"$3,087 ",111
Ches Bonnell,   India,Manuka Honey Choco,19/1/2021,"$5,110 ",155
Wilone O'Kielt,New Zealand,Raspberry Choco,19/1/2021,"$5,873 ",267
Husein Augar, UK,Mint Chip Choco,19/1/2021,"$4,641 ",357
Wilone O'Kielt, New Zealand,Peanut Butter Cubes,20/1/2021,"$1,155 ",45
Brien Boise,   UK,50% Dark Bites,20/1/2021,$784 ,49
Camilla Castle, New Zealand,Mint Chip Choco,20/1/2021,"$5,369 ",384
Brien Boise,   Canada,Eclairs,20/1/2021,$343 ,18
Brien Boise,UK,70% Dark Bites,20/1/2021,"$7,007 ",584
Kelci Walkden,   India,Baker's Choco Chips,20/1/2021,$126 ,13
Marney O'Breen,India,99% Dark & Pure,20/1/2021,"$3,073 ",134
Beverie Moffet,   New Zealand,Choco Coated Almonds,21/1/2021,"$7,805 ",488
Andria Kimpton, UK,After Nines,21/1/2021,"$3,087 ",124
Jan Morforth,New Zealand,Choco Coated Almonds,21/1/2021,"$9,030 ",452
Wilone O'Kielt,USA,Smooth Sliky Salty,21/1/2021,"$7,805 ",411
Madelene Upcott,  India,After Nines,21/1/2021,"$6,979 ",233
Beverie Moffet,India,Drinking Coco,21/1/2021,"$11,284 ",513
Rafaelita Blaksland,  Australia,Milk Bars,21/1/2021,"$2,408 ",90
Gunar Cockshoot, UK,50% Dark Bites,21/1/2021,"$5,299 ",332
Brien Boise,  UK,Organic Choco Syrup,21/1/2021,"$6,293 ",234
Ches Bonnell, Australia,Almond Choco,21/1/2021,$280 ,17
Gigi Bohling,India,85% Dark Bars,21/1/2021,$644 ,30
Kaine Padly,   Australia,Choco Coated Almonds,21/1/2021,"$2,191 ",110
Marney O'Breen,  New Zealand,Choco Coated Almonds,21/1/2021,$427 ,26
Dotty Strutley, Canada,Smooth Sliky Salty,21/1/2021,"$5,537 ",426
Madelene Upcott,   Australia,99% Dark & Pure,21/1/2021,$742 ,31
Van Tuxwell,Canada,85% Dark Bars,21/1/2021,"$4,200 ",248
Ches Bonnell, UK,Baker's Choco Chips,21/1/2021,"$5,299 ",442
Ches Bonnell,   USA,Caramel Stuffed Bars,21/1/2021,"$3,829 ",160
Oby Sorrel,  New Zealand,Manuka Honey Choco,21/1/2021,"$5,747 ",192
Curtice Advani, New Zealand,85% Dark Bars,21/1/2021,"$2,345 ",147
Karlen McCaffrey,New Zealand,Orange Choco,22/1/2021,"$4,312 ",616
Camilla Castle, New Zealand,85% Dark Bars,22/1/2021,"$1,358 ",68
Barr Faughny,USA,Orange Choco,22/1/2021,"$13,146 ",1644
Gigi Bohling,  Australia,White Choc,22/1/2021,"$12,047 ",927
Ches Bonnell,Canada,Smooth Sliky Salty,22/1/2021,"$5,971 ",460
Marney O'Breen,  New Zealand,50% Dark Bites,22/1/2021,"$3,038 ",254
Oby Sorrel,  UK,Organic Choco Syrup,22/1/2021,"$8,022 ",268
Marney O'Breen,  Canada,Baker's Choco Chips,22/1/2021,"$2,226 ",248
Brien Boise,Canada,Caramel Stuffed Bars,22/1/2021,"$2,366 ",79
Roddy Speechley,   Australia,50% Dark Bites,22/1/2021,"$8,386 ",599
Gunar Cockshoot,  Canada,Organic Choco Syrup,22/1/2021,"$13,230 ",576
Rafaelita Blaksland,  UK,Almond Choco,22/1/2021,"$1,771 ",111
Jan Morforth, UK,Raspberry Choco,22/1/2021,"$3,416 ",228
Rafaelita Blaksland, UK,85% Dark Bars,22/1/2021,"$15,197 ",634
Ches Bonnell,New Zealand,Baker's Choco Chips,22/1/2021,"$5,971 ",498
Dennison Crosswaite, UK,Orange Choco,22/1/2021,"$13,335 ",1667
Van Tuxwell,   Canada,Choco Coated Almonds,22/1/2021,"$4,613 ",210
Karlen McCaffrey,India,Fruit & Nut Bars,22/1/2021,"$10,430 ",580
Oby Sorrel,USA,Almond Choco,22/1/2021,$168 ,10
Camilla Castle, UK,99% Dark & Pure,22/1/2021,"$4,606 ",192
Husein Augar, UK,White Choc,22/1/2021,"$1,491 ",136
Dennison Crosswaite,India,99% Dark & Pure,25/1/2021,"$12,194 ",509
Karlen McCaffrey, UK,Raspberry Choco,25/1/2021,"$10,122 ",533
Andria Kimpton,Australia,99% Dark & Pure,25/1/2021,"$1,841 ",88
Marney O'Breen,  UK,Orange Choco,25/1/2021,"$6,958 ",580
Kaine Padly,  India,99% Dark & Pure,25/1/2021,$749 ,35
Marney O'Breen,UK,Raspberry Choco,25/1/2021,"$3,507 ",195
Rafaelita Blaksland,New Zealand,Baker's Choco Chips,25/1/2021,"$7,294 ",562
Brien Boise,   India,Fruit & Nut Bars,25/1/2021,"$5,040 ",420
Brien Boise, India,Organic Choco Syrup,25/1/2021,"$3,913 ",157
Andria Kimpton,USA,50% Dark Bites,25/1/2021,"$3,598 ",300
Beverie Moffet,  USA,Spicy Special Slims,25/1/2021,"$8,911 ",319
Ches Bonnell,   New Zealand,Peanut Butter Cubes,25/1/2021,$42 ,2
Jan Morforth,   India,Choco Coated Almonds,25/1/2021,"$2,282 ",109
Van Tuxwell,   Canada,99% Dark & Pure,25/1/2021,"$12,964 ",541
Andria Kimpton,Canada,Smooth Sliky Salty,25/1/2021,"$5,775 ",361
Marney O'Breen,New Zealand,Spicy Special Slims,25/1/2021,"$10,787 ",400
Oby Sorrel, Australia,Choco Coated Almonds,25/1/2021,"$6,342 ",374
Dotty Strutley,India,Peanut Butter Cubes,25/1/2021,"$11,564 ",463
Gunar Cockshoot, USA,Raspberry Choco,25/1/2021,"$2,793 ",156
Madelene Upcott,   Canada,70% Dark Bites,25/1/2021,"$1,603 ",134
Curtice Advani,   Australia,Almond Choco,25/1/2021,"$3,052 ",180
Karlen McCaffrey,   Canada,Choco Coated Almonds,25/1/2021,"$1,659 ",83
Barr Faughny, New Zealand,Mint Chip Choco,25/1/2021,"$3,143 ",210
Dennison Crosswaite,   USA,Choco Coated Almonds,25/1/2021,"$12,782 ",609
Mallorie Waber,  New Zealand,70% Dark Bites,25/1/2021,$343 ,32
Brien Boise, New Zealand,White Choc,25/1/2021,"$1,785 ",138
Brien Boise,   Canada,Orange Choco,25/1/2021,"$4,914 ",615
Madelene Upcott,   UK,White Choc,26/1/2021,"$1,869 ",208
Wilone O'Kielt,   India,Spicy Special Slims,26/1/2021,"$8,512 ",387
Van Tuxwell,UK,Orange Choco,26/1/2021,"$9,296 ",716
Oby Sorrel,Australia,Drinking Coco,26/1/2021,"$6,034 ",263
Jehu Rudeforth, India,After Nines,26/1/2021,"$9,471 ",365
Kelci Walkden,   India,Peanut Butter Cubes,26/1/2021,"$3,815 ",166
Barr Faughny, New Zealand,Eclairs,26/1/2021,"$9,485 ",527
Marney O'Breen,USA,Organic Choco Syrup,26/1/2021,"$3,549 ",132
Wilone O'Kielt,  UK,Orange Choco,26/1/2021,"$1,512 ",117
Jan Morforth,Canada,Organic Choco Syrup,26/1/2021,"$2,296 ",96
Husein Augar, India,Milk Bars,27/1/2021,"$17,402 ",697
Kelci Walkden, UK,Fruit & Nut Bars,27/1/2021,"$11,816 ",844
Rafaelita Blaksland,  New Zealand,Organic Choco Syrup,27/1/2021,"$10,612 ",425
Barr Faughny, USA,Milk Bars,27/1/2021,"$5,558 ",192
Mallorie Waber, UK,Raspberry Choco,27/1/2021,"$14,056 ",781
Andria Kimpton, USA,Organic Choco Syrup,27/1/2021,"$5,131 ",166
Marney O'Breen,  USA,99% Dark & Pure,27/1/2021,"$1,477 ",87
Curtice Advani, Australia,Raspberry Choco,27/1/2021,"$7,686 ",549
Van Tuxwell,  UK,85% Dark Bars,27/1/2021,"$8,722 ",460
Ches Bonnell,UK,Organic Choco Syrup,27/1/2021,"$6,370 ",206
Gunar Cockshoot,   UK,85% Dark Bars,27/1/2021,"$4,074 ",240
Roddy Speechley, New Zealand,After Nines,27/1/2021,"$1,309 ",51
Kaine Padly,Australia,Smooth Sliky Salty,27/1/2021,"$4,991 ",357
Wilone O'Kielt, Canada,Peanut Butter Cubes,27/1/2021,"$6,965 ",367
Kelci Walkden, Australia,Manuka Honey Choco,27/1/2021,"$10,199 ",408
Karlen McCaffrey,  New Zealand,Choco Coated Almonds,27/1/2021,"$7,392 ",390
Barr Faughny,   New Zealand,Fruit & Nut Bars,27/1/2021,"$5,880 ",392
Wilone O'Kielt,  USA,After Nines,27/1/2021,"$5,950 ",238
Dotty Strutley,   USA,Organic Choco Syrup,27/1/2021,"$10,395 ",336
Jehu Rudeforth,  India,Drinking Coco,27/1/2021,"$6,174 ",247
Wilone O'Kielt,   New Zealand,70% Dark Bites,27/1/2021,"$15,239 ",1524
Mallorie Waber,Canada,Orange Choco,27/1/2021,"$2,219 ",247
Rafaelita Blaksland,New Zealand,70% Dark Bites,27/1/2021,"$3,150 ",243
Rafaelita Blaksland,  UK,Baker's Choco Chips,27/1/2021,"$2,968 ",212
Dennison Crosswaite, Canada,Mint Chip Choco,27/1/2021,"$3,241 ",163
Kelci Walkden,   Canada,Drinking Coco,27/1/2021,"$3,605 ",151
Oby Sorrel,   Canada,99% Dark & Pure,28/1/2021,"$3,640 ",174
Husein Augar,  Canada,99% Dark & Pure,28/1/2021,"$1,309 ",77
Jan Morforth, India,Eclairs,28/1/2021,"$10,346 ",739
Kelci Walkden, Canada,Raspberry Choco,28/1/2021,"$1,071 ",54
Husein Augar,UK,70% Dark Bites,28/1/2021,"$6,328 ",791
Kaine Padly,   Canada,After Nines,28/1/2021,"$1,820 ",68
Andria Kimpton, India,Choco Coated Almonds,28/1/2021,"$3,437 ",157
Rafaelita Blaksland,   UK,White Choc,28/1/2021,"$4,550 ",455
Barr Faughny,  Canada,Drinking Coco,28/1/2021,"$2,968 ",110
Dotty Strutley,   USA,Eclairs,28/1/2021,"$12,565 ",898
Rafaelita Blaksland,  Canada,Milk Bars,28/1/2021,"$8,246 ",318
Andria Kimpton,   India,Mint Chip Choco,28/1/2021,"$1,190 ",70
Roddy Speechley,  New Zealand,Eclairs,28/1/2021,"$3,283 ",183
Ches Bonnell,   Australia,Manuka Honey Choco,28/1/2021,"$3,087 ",115
Oby Sorrel,  India,Choco Coated Almonds,28/1/2021,"$6,531 ",297
Marney O'Breen, USA,White Choc,28/1/2021,"$4,228 ",249
Roddy Speechley,  USA,Caramel Stuffed Bars,28/1/2021,"$10,094 ",389
Mallorie Waber,   New Zealand,Milk Bars,28/1/2021,$182 ,6
Jehu Rudeforth, New Zealand,White Choc,28/1/2021,$616 ,37
Roddy Speechley, USA,Smooth Sliky Salty,29/1/2021,"$12,131 ",809
Kaine Padly,USA,Drinking Coco,29/1/2021,"$2,394 ",93
Karlen McCaffrey,   India,White Choc,29/1/2021,"$14,287 ",841
Husein Augar,New Zealand,Almond Choco,29/1/2021,"$10,941 ",730
Roddy Speechley,UK,Drinking Coco,29/1/2021,"$7,777 ",260
Curtice Advani, Canada,Orange Choco,29/1/2021,"$9,436 ",858
Kaine Padly,   Canada,Fruit & Nut Bars,29/1/2021,"$1,267 ",116
Kaine Padly, USA,After Nines,29/1/2021,"$8,806 ",327
Curtice Advani, UK,Choco Coated Almonds,29/1/2021,"$3,640 ",243
Kaine Padly,UK,Caramel Stuffed Bars,29/1/2021,"$4,900 ",182
Madelene Upcott,Australia,White Choc,29/1/2021,"$5,558 ",348
Camilla Castle,New Zealand,Almond Choco,29/1/2021,"$9,142 ",436
Dennison Crosswaite,UK,Mint Chip Choco,29/1/2021,"$3,514 ",235
Beverie Moffet, Canada,50% Dark Bites,29/1/2021,$140 ,10
Kelci Walkden, UK,Spicy Special Slims,1/2/2021,"$11,844 ",439
Gunar Cockshoot, New Zealand,Milk Bars,1/2/2021,"$6,517 ",233
Kaine Padly,  India,Milk Bars,1/2/2021,"$8,715 ",282
Gigi Bohling,   India,Organic Choco Syrup,1/2/2021,"$4,851 ",180
Barr Faughny, USA,Organic Choco Syrup,1/2/2021,"$10,983 ",379
Mallorie Waber,Australia,Baker's Choco Chips,1/2/2021,"$3,290 ",329
Husein Augar,  Australia,Organic Choco Syrup,1/2/2021,"$6,545 ",212
Gunar Cockshoot,   Canada,70% Dark Bites,1/2/2021,$441 ,45
Dotty Strutley,India,Choco Coated Almonds,1/2/2021,"$9,849 ",580
Andria Kimpton,New Zealand,White Choc,1/2/2021,"$3,073 ",308
Rafaelita Blaksland,USA,Organic Choco Syrup,1/2/2021,"$4,452 ",149
Karlen McCaffrey,Canada,85% Dark Bars,1/2/2021,"$10,220 ",538
Andria Kimpton,UK,70% Dark Bites,1/2/2021,"$3,150 ",210
Kaine Padly, USA,Smooth Sliky Salty,1/2/2021,"$6,083 ",381
Ches Bonnell,UK,Fruit & Nut Bars,1/2/2021,"$14,063 ",1407
Kaine Padly,  UK,70% Dark Bites,1/2/2021,"$4,578 ",306
Beverie Moffet,   India,White Choc,1/2/2021,"$6,454 ",461
Kelci Walkden,  USA,Manuka Honey Choco,2/2/2021,"$6,650 ",256
Barr Faughny, India,Peanut Butter Cubes,2/2/2021,"$2,436 ",94
Mallorie Waber,  New Zealand,Choco Coated Almonds,2/2/2021,"$6,944 ",331
Gigi Bohling,  India,After Nines,2/2/2021,"$19,817 ",684
Barr Faughny,   India,50% Dark Bites,2/2/2021,"$3,521 ",235
Karlen McCaffrey,   USA,After Nines,2/2/2021,"$10,458 ",327
Roddy Speechley, New Zealand,99% Dark & Pure,2/2/2021,"$1,302 ",57
Brien Boise,Australia,After Nines,2/2/2021,"$7,952 ",249
Jan Morforth,  Australia,Eclairs,2/2/2021,"$4,753 ",265
Husein Augar, India,85% Dark Bars,2/2/2021,"$11,452 ",546
Gunar Cockshoot,  India,Spicy Special Slims,2/2/2021,"$9,345 ",390
Marney O'Breen,  India,Mint Chip Choco,2/2/2021,"$7,490 ",357
Camilla Castle,India,Organic Choco Syrup,2/2/2021,"$1,519 ",57
Andria Kimpton, UK,Smooth Sliky Salty,2/2/2021,"$3,087 ",155
Curtice Advani, UK,Smooth Sliky Salty,2/2/2021,"$2,352 ",168
Rafaelita Blaksland,  Canada,Baker's Choco Chips,2/2/2021,"$11,578 ",891
Husein Augar,USA,Peanut Butter Cubes,2/2/2021,$462 ,22
Roddy Speechley,India,Caramel Stuffed Bars,3/2/2021,"$6,916 ",315
Husein Augar,  India,Orange Choco,3/2/2021,"$3,248 ",542
Camilla Castle,  Canada,Milk Bars,3/2/2021,"$6,475 ",240
Van Tuxwell, UK,Peanut Butter Cubes,3/2/2021,"$9,009 ",501
Rafaelita Blaksland,Canada,White Choc,3/2/2021,"$2,835 ",189
Dotty Strutley,India,Milk Bars,3/2/2021,"$7,644 ",294
Beverie Moffet,UK,70% Dark Bites,3/2/2021,"$3,360 ",240
Beverie Moffet,USA,Mint Chip Choco,3/2/2021,"$1,379 ",99
Jehu Rudeforth,USA,Organic Choco Syrup,3/2/2021,"$9,534 ",382
Rafaelita Blaksland,USA,Peanut Butter Cubes,3/2/2021,"$14,448 ",657
Roddy Speechley,  USA,Baker's Choco Chips,3/2/2021,"$3,829 ",240
Gunar Cockshoot, New Zealand,Orange Choco,4/2/2021,"$9,086 ",758
Kelci Walkden,   Canada,Milk Bars,4/2/2021,"$5,803 ",194
Camilla Castle, UK,Manuka Honey Choco,4/2/2021,$182 ,7
Madelene Upcott,   UK,85% Dark Bars,4/2/2021,"$9,863 ",520
Curtice Advani,   New Zealand,Orange Choco,4/2/2021,"$4,046 ",289
Andria Kimpton,  UK,Fruit & Nut Bars,4/2/2021,"$3,493 ",350
Jan Morforth,  Canada,Almond Choco,4/2/2021,$392 ,18
Gigi Bohling, India,Spicy Special Slims,4/2/2021,"$2,534 ",111
